ID,Groups,Company,email,website,profile,address,CIA - AKA,CIA - MKT,country,GEO code,GEO coord,GMaps,SECTOR,PTEs,BRANDs,Notes;;;;;;;
"1,LSN,A Fectoría Ecolóxica (es),,https://www.the-bio-factory.com/,,""A Factoría Ecolóxica"; Pol- de Pocomaco, primera avenida, parcela C1, nave 3;15190; A Coruña;" SPAIN"",the bio factory (es),,Spain,,""43.33537144264918, -8.422904145886847"",""https://www.google.com/maps/search/?api=1&query=43.33537144264918,-8.422904145886847"",frozen desserts,ice-cream,,2026/04 Lasenor";;;
2,LSN,ABCD nutrition (fr),,http://abcdnutrition.com/,,513 rue Robert Estienne;60400; Noyon;" FRANCE,Guaranteed Gluten Free (GGF),ABCD Nutrition Groupe (grp),France,FR-1003,""49.575649212993696, 3.028357005788655"",""https://www.google.com/maps/search/?api=1&query=48.09324711413949,-0.7536558212888065"",bakery,,Céliane - Gluten free,2026/04 Lasenor";;;;
3,LSN,Actalia Innovation (fr),,https://www.actalia-innovation.com/,,310 rue Popielujko; Saint-Lô;50000; Normandie;" FRANCE,,,France,FR-0703,""49.10087537834659, -1.0783243649663925"",""https://www.google.com/maps/search/?api=1&query=47.74263555257581,7.340086269263209"",enginy / SVCs,,,03/2026 Lasenor";;;
"4,LSN,Actibio (fr),,https://www.actibio.net/,,""10 Rue Ferdinand Buisson, 53810 Changé, FRANCE"",,,France,FR-0703,""48.09324711413949, -0.7536558212888065"",""https://www.google.com/maps/search/?api=1&query=47.74263555257581,7.340086269263209"",""bakery, xoco"",,,2026/04 Lasenor";;;;;;;
"5,LSN,Activ'Inside (fr),,http://www.activinside.com/,,""Activ'Inside"; 12, route de Beroy, ZA du Grand Cazau;33750; Beychac et Caillau; Nouvelle-Aquitaine;" FRANCE"",Activ Inside (fr) / Activ'Inside (fr) / Active Inside (fr) / ActivInside (fr) / ActiveInside (fr),,France,FR-0203,""44.88141059690801, -0.34798486553258323"",""https://www.google.com/maps/search/?api=1&query=45.465110166332956,4.8323749472649515"",nutra / pharma,,,2026/04 Lasenor";;
6,LSN,Ad Pack (fr),,http://www.adpack.fr,,5 zone de Guilloron;42520; Maclas;" FRANCE,,,France,FR-0601,""45.35494762509038, 4.673230208222637"",""https://www.google.com/maps/search/?api=1&query=49.20054643428809,-0.3754732739459302"",equipment,,,2026/04 Lasenor";;;;
"7,LSN,adeis - Additive & Ingredient Solutions (ma),,https://www.adeis.com/,,""Parc Industriel Oulad Saleh, Nº I3G12"; Bouskoura;27182; Casablanca;" MOROCCO"",,,Morocco,,""33.42622248986742, -7.639156291737861"",""https://www.google.com/maps/search/?api=1&query=48.61486227476596,2.478690370992875"",additives,,,2025/06 Lasenor";;;
8,LSN,Adeka Palmarole (fr),,http://www.adeka-pa.eu/,,ADEKA Polymer Additives; 13 RUE DU 17 NOVEMVRE;68100; MULHOUSE;" FRANCE,,,France,FR-0901,""47.74263555257581, 7.340086269263209"",""https://www.google.com/maps/search/?api=1&query=48.82694763994465,2.260659477998564"",chemical,,,2026/04 Lasenor";;;
9,LSN,Adeka Polymer Additives Europe (fr),,http://www.adeka-pa.eu/,,ADEKA Polymer Additives; 13 RUE DU 17 NOVEMVRE;68100; MULHOUSE; FRANCE,Adeka Polymer Additives Europe (fr);" Adeka Palmarole (fr),,France,FR-0901,""47.74263555257581, 7.340086269263209"",""https://www.google.com/maps/search/?api=1&query=44.88912900202673,4.8874716955532005"",chemical,,,2026/04 Lasenor";;
"10,LSN,Adetis Ingredients (fr),,https://adetis-ingredients.fr/,,""4 rue des Ajusteurs, ZI Ouest Les Dorices";44330; Vallet;" FRANCE"",,,France,FR-0701,""47.18301182315218, -1.2591846377941045"",""https://www.google.com/maps/search/?api=1&query=43.45602674834252,5.679624281357696"",""partner, BIO"",,,""2026/04 Lasenor";;;;
"Cfia Rennes 2026 (fr)""";;;;;;;
11,LSN,Adisseo (fr),,http://www.adisseo.com,,114 Av. Berthelot;38370; Saint-Clair-du-Rhône;" FRANCE,,,France,FR-0602,""45.447638123353734, 4.767555649527714"",""https://www.google.com/maps/search/?api=1&query=48.87043093346531,2.3349184400116836"",feed,,,2026/04 Lasenor";;;;
12,LSN,Adivec (fr),,https://www.adivec.fr/,,10 bis rue de Lahire;45000; Orléans;" FRANCE,,,France,FR-0803,""47.90772536911211, 1.8971842552057068"",""https://www.google.com/maps/search/?api=1&query=44.642501016166015,6.157621824003577"",ingredients,,,2026/04 Lasenor";;;;
13,LSN,ADM (grp),,https://www.adm.com/,,Rte de Talhouët;56250; Saint-Nolff;" FRANCE,,ADM (grp),France,FR-0702,""47.700962580719526, -2.664795642464769"",""https://www.google.com/maps/search/?api=1&query=41.75397559486392,1.8626557170973632"",additives,,,2026/04 Lasenor";;;;
14,LSN,ADP Laboratoire (fr),,https://www.adplaboratoire.com/,,ADP Laboratoire; ZA du Saluant;38121; Reventin-Vaugris;" FRANCE,,,France,FR-0602,""45.465110166332956, 4.8323749472649515"",""https://www.google.com/maps/search/?api=1&query=48.85454917074884,2.331803690373799"",""nutra / pharma, food"",,,2026/04 Lasenor";;;
